id,latitude,longitude,postcode,description
1516536,51.545656841771900,-2.562802894086890,BS32 4AY,
1516537,51.546609468218800,-2.562901178917990,BS32 4AZ,
1516538,51.546024848278400,-2.562937224044340,BS32 4BA,
1516539,51.527271560499600,-2.535418396083490,BS32 8EU,
1516540,51.529768507869700,-2.545754920007620,BS32 8EY,
1516541,51.528796926035200,-2.547790283005170,BS32 8EZ,
1516542,51.535327519477500,-2.549584000000000,BS32 8FB,
1516543,51.534195599552000,-2.550825035042640,BS32 8FD,
1516544,51.534074123156000,-2.549886459397600,BS32 8FE,
1516545,51.536089000000000,-2.549954000000000,BS32 8FF,
1516546,51.532621670197100,-2.547072130946660,BS32 8GA,
1516547,51.533398659798400,-2.546274106109230,BS32 8GB,
1516548,51.529670243003300,-2.553293137985680,BS32 8GD,
1516549,51.532969707483300,-2.551473400909820,BS32 8HH,
1516550,51.532744891765900,-2.553388096079300,BS32 8HJ,
1516551,51.533244438859400,-2.554418000000000,BS32 8HL,
1516552,51.530931460892500,-2.550872118973160,BS32 8JW,
1516553,51.532155049356900,-2.550713897074230,BS32 8SW,
1516554,51.533229962993000,-2.547628000000000,BS32 8TA,
1516555,51.532568295119800,-2.548873563446300,BS32 8TB,
1516556,51.532417606254900,-2.548410421282060,BS32 8TD,
1516557,51.527725425703600,-2.536447190437420,BS32 8TP,
1516560,51.522868264990200,-2.552317024057990,BS32 8YL,
1516562,51.541939905254300,-2.561646715217900,BS32 9AB,
1516563,51.541775972908800,-2.560202746486250,BS32 9AD,
1516564,51.542538902511200,-2.564235226042600,BS32 9AE,
1516565,51.541696663787700,-2.563619187288010,BS32 9AF,
1516566,51.542928425816200,-2.563634411448840,BS32 9AG,
1516567,51.542322520786500,-2.566222463551890,BS32 9AH,
1516568,51.541993403134600,-2.565482979071050,BS32 9AJ,
1516569,51.541382257164200,-2.563557624005060,BS32 9AL,
1516570,51.541825076452900,-2.564961789246010,BS32 9AQ,
1516571,51.536787634616800,-2.559795446651830,BS32 9AR,
1516572,51.537465092925500,-2.561029302876130,BS32 9AS,
1516573,51.535451764360100,-2.551388069194250,BS32 9AW,
1516574,51.535839425219000,-2.553079616589080,BS32 9AX,
1516575,51.535691469121700,-2.552156000000000,BS32 9AY,
1516576,51.535518399845600,-2.552513440882430,BS32 9AZ,
1516577,51.536439120452800,-2.557455484146880,BS32 9BA,
1516578,51.536919694695900,-2.558499450909630,BS32 9BB,
1516579,51.535020671108100,-2.551281936526490,BS32 9BD,
1516580,51.535654436812900,-2.557964926314820,BS32 9BE,
1516581,51.535388819561000,-2.557096628516530,BS32 9BF,
1516582,51.535721997281500,-2.555096653973180,BS32 9BG,
1516583,51.534300035850000,-2.551561569782090,BS32 9BH,
1516584,51.532820985120500,-2.542879273484020,BS32 9BJ,
1516585,51.534959939150600,-2.545038495825740,BS32 9BL,
1516586,51.534464619331700,-2.552889940651370,BS32 9BN,
1516587,51.535122465524600,-2.554483827478620,BS32 9BP,
1516588,51.536197613365200,-2.545716500782810,BS32 9BS,
1516589,51.537066971667200,-2.553988418230630,BS32 9BT,
1516590,51.537300584921100,-2.552289000000000,BS32 9BU,
1516591,51.538087308232500,-2.553078038740420,BS32 9BW,
1516592,51.538078624652800,-2.551102623046910,BS32 9BX,
1516593,51.533676167761500,-2.544605065603740,BS32 9BY,
1516594,51.532315000000000,-2.543736616224600,BS32 9BZ,
1516595,51.540217227217000,-2.560875711358630,BS32 9DA,
1516596,51.539052741241100,-2.552368814869020,BS32 9DB,
1516597,51.538541409153400,-2.552117507982690,BS32 9DD,
1516598,51.537688705787900,-2.549886782800970,BS32 9DE,
1516599,51.540389311224400,-2.556639000000000,BS32 9DF,
1516600,51.540919984217200,-2.556803713480230,BS32 9DG,
1516601,51.539672444088200,-2.558215946438390,BS32 9DH,
1516602,51.540314573544400,-2.559319652786580,BS32 9DJ,
1516603,51.538677326266800,-2.557598188963730,BS32 9DN,
1516604,51.537722684166100,-2.556029350784440,BS32 9DP,
1516605,51.538280740188500,-2.555906388708580,BS32 9DQ,
1516606,51.537839862488500,-2.557861897231450,BS32 9DR,
1516607,51.540210304038000,-2.560645000000000,BS32 9DS,
1516608,51.540769000000000,-2.558547000000000,BS32 9DT,
1516609,51.536579472553800,-2.552095000000000,BS32 9DU,
1516610,51.536344000000000,-2.553129000000000,BS32 9DW,
1516611,51.536339091928800,-2.551744000000000,BS32 9DX,
1516612,51.532359230709500,-2.555084566804330,BS32 9TA,
1516613,51.532067353422300,-2.555960417283330,BS32 9TB,
1516625,51.551667185860900,-2.567564446912720,BS32 4BB,
1516626,51.551518469444500,-2.570418266606620,BS32 4BJ,
1516627,51.551380858857700,-2.572825108906930,BS32 4BL,
1516628,51.551444539046600,-2.576345014143890,BS32 4BN,
1516629,51.550285133927500,-2.579892639441340,BS32 4BP,
1516631,51.547932983601400,-2.582790277886310,BS32 4BS,
1516632,51.544267215206900,-2.589434444662860,BS32 4BT,
1516633,51.544745687182000,-2.590839413520640,BS32 4BU,
1516634,51.545769000000000,-2.584334000000000,BS32 4BW,
1516635,51.546990475642900,-2.595007375869000,BS32 4BX,
1516636,51.546351000000000,-2.597277000000000,BS32 4BY,
1516637,51.542760509510400,-2.590453196828200,BS32 4BZ,
1516638,51.557424420164700,-2.551927916927670,BS32 4DA,
1516639,51.542970000000000,-2.595517000000000,BS32 4DB,
1516640,51.540476522685500,-2.594042821179660,BS32 4DD,
1516641,51.542645666753300,-2.598916127508700,BS32 4DE,
1516642,51.539392000000000,-2.597186000000000,BS32 4DF,
1516643,51.538585054142500,-2.596454913111250,BS32 4DG,
1516644,51.557357374495500,-2.550888546852390,BS32 4DH,
1516645,51.551548000000000,-2.579317000000000,BS32 4DJ,
1516646,51.554563027986300,-2.571148695722460,BS32 4DL,
1516647,51.556743096469000,-2.566589107294100,BS32 4DN,
1516648,51.553553786037200,-2.569751420490400,BS32 4DP,
1516649,51.536593046990900,-2.602686224778710,BS32 4DQ,
1516650,51.552218671982700,-2.574335608429900,BS32 4DR,
1516651,51.553544431878100,-2.573515765086660,BS32 4DS,
1516652,51.555088000000000,-2.572641000000000,BS32 4DT,
1516653,51.555455983140200,-2.568722257885750,BS32 4DU,
1516654,51.555774344617700,-2.571668711650400,BS32 4DW,
1516655,51.556068484037200,-2.574037940592420,BS32 4DX,
1516656,51.555181928219900,-2.576969219347430,BS32 4DY,
1516657,51.556852465367300,-2.577350972840820,BS32 4DZ,
1516658,51.557063583861400,-2.576473762358400,BS32 4EA,
1516659,51.561593803268500,-2.574944232934220,BS32 4EB,
1516660,51.555180518266700,-2.575310000000000,BS32 4ED,
1516661,51.555830693722700,-2.574857110947130,BS32 4EE,
1516662,51.554605099010400,-2.575418596813950,BS32 4EF,
1516663,51.554756175344800,-2.575781094209500,BS32 4EG,
1516664,51.555379286650100,-2.573394613493130,BS32 4EH,
1516665,51.551893083012100,-2.580201547403950,BS32 4EJ,
1516666,51.552585228808400,-2.582387000000000,BS32 4EN,
1516667,51.547642163810100,-2.601217070816110,BS32 4EP,
1516668,51.553578947699500,-2.579299917716930,BS32 4EQ,
1516669,51.545723651360900,-2.603614463604960,BS32 4ER,
1516670,51.552565049283800,-2.593262845360630,BS32 4ES,
1516672,51.546774612700900,-2.556557943956110,BS32 4EU,
1516673,51.548900018704600,-2.599647262762990,BS32 4EW,
